,5,5
0,5,5
1,5,5
2,5,5
3,5,5
4,5,5
5,5,5
6,5,5
7,5,5
8,5,5
9,5,5
10,5,5
11,5,5
12,5,5
13,5,5
14,5,5
15,5,5
16,5,5
17,5,5
18,5,5
19,5,5
20,5,5
21,5,5
22,5,5
23,5,5
24,5,5
25,5,5
26,4,5
27,4,5
28,4,5
29,4,5
30,4,5
31,4,5
32,4,5
33,4,5
34,4,5
35,4,5
36,4,5
37,4,5
38,4,5
39,4,5
40,4,5
41,4,5
42,4,5
43,4,5
44,4,5
45,4,5
46,4,5
47,4,5
48,4,5
49,4,5
50,6,5
51,6,5
52,6,5
53,6,5
54,6,5
55,6,5
56,6,5
57,6,5
58,6,5
59,6,5
60,6,5
61,6,5
62,6,5
63,6,5
64,6,5
65,6,5
66,6,5
67,6,5
68,6,5
69,6,5
70,6,5
71,6,5
72,6,5
73,6,5
74,6,5
75,6,5
76,6,5
77,1,5
78,1,5
79,1,5
80,1,5
81,1,5
82,1,5
83,1,5
84,1,5
85,1,5
86,1,5
87,1,5
88,1,5
89,1,5
90,1,5
91,1,5
92,1,5
93,1,5
94,1,5
95,1,5
96,1,5
97,1,5
98,1,5
99,1,5
100,1,5
101,1,5
102,1,5
103,1,5
104,1,5
105,1,5
106,1,5
107,1,5
108,1,5
109,1,5
110,1,5
111,1,5
112,1,5
113,1,5
114,1,5
115,1,5
116,1,5
117,1,5
118,1,5
119,1,5
120,1,5
121,1,5
122,1,5
123,1,5
124,3,5
125,3,5
126,3,5
127,3,5
128,3,5
129,3,5
130,3,5
131,3,5
132,3,5
133,3,5
134,3,5
135,3,5
136,3,5
137,3,5
138,3,5
139,3,5
140,3,5
141,3,5
142,3,5
143,3,5
144,3,5
145,3,5
146,3,5
147,3,5
148,3,5
149,2,5
150,2,5
151,2,5
152,2,5
153,2,5
154,2,5
155,2,5
156,2,5
157,2,5
158,2,5
159,2,5
160,2,5
161,2,5
162,2,5
163,2,5
164,2,5
165,2,5
166,2,5
167,2,5
168,2,5
169,2,5
170,2,5
171,2,5
172,2,5
173,2,5
174,2,5
175,5,5
176,5,5
177,5,5
178,5,5
179,5,5
180,5,5
181,5,5
182,5,5
183,5,5
184,5,5
185,5,5
186,5,5
187,5,5
188,5,5
189,5,5
190,5,5
191,5,5
192,5,5
193,5,5
194,5,5
195,5,5
196,5,5
197,5,5
198,5,5
199,5,5
200,5,5
201,4,5
202,4,5
203,4,5
204,4,5
205,4,5
206,4,5
207,4,5
208,4,5
209,4,5
210,4,5
211,4,5
212,6,5
213,6,5
214,6,5
215,6,5
216,6,5
217,6,5
218,6,5
219,6,5
220,6,5
221,6,5
222,6,5
223,6,5
224,4,5
225,4,5
226,4,5
227,4,5
228,4,5
229,4,5
230,4,5
231,4,5
232,4,5
233,4,5
234,4,5
235,4,5
236,6,5
237,6,5
238,6,5
239,6,5
240,6,5
241,6,5
242,6,5
243,6,5
244,6,5
245,6,5
246,6,5
247,1,5
248,1,5
249,1,5
250,1,5
251,1,5
252,1,5
253,1,5
254,1,5
255,1,5
256,1,5
257,1,5
258,1,5
259,1,5
260,1,5
261,1,5
262,1,5
263,1,5
264,1,5
265,1,5
266,1,5
267,1,5
268,1,5
269,1,5
270,1,5
271,1,5
272,1,5
273,1,5
274,1,5
275,1,5
276,1,5
277,1,5
278,1,5
279,1,5
280,1,5
281,1,5
282,1,5
283,1,5
284,1,5
285,1,5
286,1,5
287,1,5
288,1,5
289,1,5
290,1,5
291,1,5
292,1,5
293,1,5
294,1,5
295,3,5
296,3,5
297,3,5
298,3,5
299,3,5
300,3,5
301,3,5
302,2,5
303,2,5
304,2,5
305,2,5
306,2,5
307,2,5
308,2,5
309,2,5
310,2,5
311,2,5
312,2,5
313,2,5
314,2,5
315,2,5
316,2,5
317,2,5
318,2,5
319,2,5
320,2,5
321,2,5
322,2,5
323,2,5
324,2,5
325,2,5
326,2,5
327,2,5
328,2,5
329,3,5
330,3,5
331,3,5
332,3,5
333,3,5
334,3,5
335,3,5
336,3,5
337,3,5
338,3,5
339,3,5
340,3,5
341,3,5
342,3,5
343,3,5
344,3,5
345,3,5
346,5,5
347,5,5
348,5,5
349,5,5
350,5,5
351,5,5
352,5,5
353,5,5
354,5,5
355,5,5
356,5,5
357,5,5
358,5,5
359,5,5
360,5,5
361,5,5
362,5,5
363,5,5
364,5,5
365,5,5
366,5,5
367,5,5
368,5,5
369,5,5
370,5,5
371,5,5
372,5,5
373,5,5
374,5,5
375,5,5
376,5,5
377,4,5
378,4,5
379,4,5
380,4,5
381,4,5
382,4,5
383,4,5
384,4,5
385,4,5
386,4,5
387,4,5
388,4,5
389,4,5
390,4,5
391,4,5
392,4,5
393,4,5
394,4,5
395,4,5
396,4,5
397,4,5
398,4,5
399,4,5
400,4,5
401,4,5
402,4,5
403,6,5
404,6,5
405,6,5
406,6,5
407,6,5
408,6,5
409,6,5
410,6,5
411,6,5
412,6,5
413,6,5
414,6,5
415,6,5
416,6,5
417,6,5
418,6,5
419,6,5
420,6,5
421,6,5
422,6,5
423,6,5
424,6,5
425,6,5
426,6,5
427,6,5
428,6,5
429,6,5
430,6,5
431,6,5
432,6,5
433,1,5
434,1,5
435,1,5
436,1,5
437,1,5
438,1,5
439,1,5
440,1,5
441,1,5
442,1,5
443,1,5
444,1,5
445,1,5
446,1,5
447,1,5
448,1,5
449,1,5
450,1,5
451,1,5
452,1,5
453,1,5
454,1,5
455,1,5
456,1,5
457,1,5
458,1,5
459,1,5
460,1,5
461,1,5
462,1,5
463,1,5
464,3,5
465,3,5
466,3,5
467,3,5
468,3,5
469,3,5
470,3,5
471,3,5
472,3,5
473,3,5
474,3,5
475,3,5
476,3,5
477,3,5
478,3,5
479,3,5
480,3,5
481,3,5
482,3,5
483,3,5
484,3,5
485,3,5
486,3,5
487,2,5
488,2,5
489,2,5
490,2,5
491,2,5
492,2,5
493,2,5
494,2,5
495,2,5
496,2,5
497,2,5
498,2,5
499,2,5
500,2,5
501,2,5
502,2,5
503,2,5
504,2,5
505,2,5
506,2,5
507,2,5
508,2,5
509,2,5
510,2,5
511,2,5
512,2,5
513,2,5
514,2,5
515,2,5
516,2,5
517,2,5
518,2,5
519,2,5
520,2,5
521,5,5
522,5,5
523,5,5
524,5,5
525,5,5
526,5,5
527,5,5
528,5,5
529,5,5
530,5,5
531,5,5
532,5,5
533,5,5
534,5,5
535,5,5
536,5,5
537,5,5
538,5,5
539,5,5
540,5,5
541,5,5
542,5,5
543,5,5
544,5,5
545,5,5
546,5,5
547,5,5
548,5,5
549,5,5
550,5,5
551,4,5
552,4,5
553,4,5
554,4,5
555,4,5
556,4,5
557,4,5
558,4,5
559,4,5
560,4,5
561,4,5
562,4,5
563,4,5
564,4,5
565,4,5
566,4,5
567,4,5
568,4,5
569,4,5
570,4,5
571,4,5
572,4,5
573,4,5
574,4,5
575,4,5
576,4,5
577,6,5
578,6,5
579,6,5
580,6,5
581,6,5
582,6,5
583,6,5
584,6,5
585,6,5
586,6,5
587,6,5
588,6,5
589,6,5
590,6,5
591,6,5
592,6,5
593,6,5
594,6,5
595,6,5
596,6,5
597,6,5
598,6,5
599,6,5
600,6,5
601,6,5
602,6,5
603,6,5
604,6,5
605,6,5
606,6,5
607,6,5
608,6,5
609,1,5
610,1,5
611,1,5
612,1,5
613,1,5
614,1,5
615,1,5
616,1,5
617,1,5
618,1,5
619,1,5
620,1,5
621,1,5
622,1,5
623,1,5
624,1,5
625,1,5
626,1,5
627,1,5
628,1,5
629,1,5
630,1,5
631,1,5
632,1,5
633,1,5
634,1,5
635,1,5
636,3,5
637,3,5
638,3,5
639,3,5
640,3,5
641,3,5
642,3,5
643,3,5
644,3,5
645,3,5
646,3,5
647,3,5
648,3,5
649,3,5
650,3,5
651,3,5
652,3,5
653,3,5
654,3,5
655,3,5
656,3,5
657,3,5
658,3,5
659,3,5
660,3,5
661,3,5
662,2,5
663,2,5
664,2,5
665,2,5
666,2,5
667,2,5
